SUBJ,SES,x,y,z,t,label
2497,20220811,84,114,62,0,lCaud
2497,20220811,89,89,62,0,rCaud
2497,20220811,111,113,62,0,lThal
2497,20220811,114,95,62,0,rThal
2497,20221202,86,110,62,0,lCaud
2497,20221202,88,91,62,0,rCaud
2497,20221202,121,119,62,0,lThal
2497,20221202,122,92,62,0,rThal
#out_old not present
#collected not converted

2578,20210927,82,116,62,0,lCaud
2578,20210927,88,85,62,0,rCaud
2578,20210927,114,119,62,0,lThal
2578,20210927,112,93,62,0,rThal

2647,20240112,84,119,62,0,lCaud
2647,20240112,84,97,62,0,rCaud
2647,20240112,116,115,62,0,lThal
2647,20240112,122,99,62,0,rThal
2647,20240307,82,121,62,0,lCaud
2647,20240307,78,96,62,0,rCaud
2647,20240307,121,114,62,0,lThal
2647,20240307,120,97,62,0,rThal

2690,20221021,86,110,62,0,lCaud
2690,20221021,86,90,62,0,rCaud
2690,20221021,121,119,62,0,lThal
2690,20221021,122,92,62,0,rThal
2690,20230112,81,111,62,0,lCaud
2690,20230112,86,93,62,0,rCaud
2690,20230112,120,110,62,0,lThal
2690,20230112,119,93,62,0,rThal
#out_old not present
#collected not converted

2695,20221014,79,120,62,0,lCaud
2695,20221014,80,98,62,0,rCaud
2695,20221014,118,116,62,0,lThal
2695,20221014,118,99,62,0,rThal

2773,20230421,82,115,62,0,lCaud
2773,20230421,83,91,62,0,rCaud
2773,20230421,121,117,62,0,lThal
2773,20230421,120,90,62,0,rThal
2773,20230616,82,115,62,0,lCaud
2773,20230616,86,93,62,0,rCaud
2773,20230616,115,115,62,0,lThal
2773,20230616,115,98,62,0,rThal
#out_old not present
#collected not converted

2778,20230428,84,115,62,0,lCaud
2778,20230428,83,94,62,0,rCaud
2778,20230428,123,113,62,0,lThal
2778,20230428,120,96,62,0,rThal

2799,20230810,91,118,62,0,lCaud
2799,20230810,93,89,62,0,rCaud
2799,20230810,125,113,62,0,lThal
2799,20230810,127,91,62,0,rThal

2824,20231019,78,120,62,0,lCaud
2824,20231019,77,96,62,0,rCaud
2824,20231019,114,119,62,0,lThal
2824,20231019,112,100,62,0,rThal
2824,20240802,79,122,62,0,lCaud
2824,20240802,76,99,62,0,rCaud
2824,20240802,109,116,62,0,lThal
2824,20240802,110,99,62,0,rThal

2828,20231110,82,118,62,0,lCaud
2828,20231110,79,94,62,0,rCaud
2828,20231110,117,115,62,0,lThal
2828,20231110,113,93,62,0,rThal

2859,20240301,85,122,62,0,lCaud
2859,20240301,81,99,62,0,rCaud
2859,20240301,121,118,62,0,lThal
2859,20240301,117,95,62,0,rThal
2859,20240426,79,121,62,0,lCaud
2859,20240426,80,95,62,0,rCaud
2859,20240426,116,115,62,0,lThal
2859,20240426,117,97,62,0,rThal

2862,20240308,80,121,62,0,lCaud
2862,20240308,82,97,62,0,rCaud
2862,20240308,118,119,62,0,lThal
2862,20240308,118,98,62,0,rThal
